circle_amount,file_name,size,prompt,correct_answer,correct_key_resp,condition_size,condition_lined,practice_section.thisRepN,practice_section.thisTrialN,practice_section.thisN,practice_section.thisIndex,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,trials_low.thisRepN,trials_low.thisTrialN,trials_low.thisN,trials_low.thisIndex,trials_high.thisRepN,trials_high.thisTrialN,trials_high.thisN,trials_high.thisIndex,image_2.started,image_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,cross_2.started,cross_2.stopped,practice_low.started,practice_low.stopped,text_2.started,text_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,yes_no_prac.started,yes_no_prac.stopped,text_3.started,text_3.stopped,text_4.started,text_4.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_5.started,text_5.stopped,text_6.started,text_6.stopped,cross.started,cross.stopped,text.started,text.stopped,image.started,image.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate
2,2_circles_notlined.png,"(0.5, 0.5)",There were 2 circles,Yes,z,Low,No,0,0,0,0,,,,,0,27,27,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,348.3664634,349.3732781,350.8571061,None,349.8568495,350.3569294,z,0.6501024,350.8571061,None,santtu,1,2021_Nov_26_1449,project_circles,2021.2.3,59.95674719
5,5_circles_notlined.png,"(0.7, 0.5)",There were 4 circles,No,m,Low,No,0,0,0,0,,,,,0,28,28,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,351.6209638,352.6234791,354.1088547,None,353.1066341,353.6069121,m,0.8194965,354.1088547,None,santtu,1,2021_Nov_26_1449,project_circles,2021.2.3,59.95674719
5,5_circles_notlined.png,"(0.7, 0.5)",There were 6 circles,No,m,Low,No,0,0,0,0,,,,,0,29,29,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355.0434888,356.0570148,357.5398307,None,356.5399734,357.0403831,m,0.9007853,357.5398307,None,santtu,1,2021_Nov_26_1449,project_circles,2021.2.3,59.95674719
4,4_circles_lined.png,"(0.5, 0.5)",There were 4 circles,Yes,z,Low,Yes,0,0,0,0,,,,,0,30,30,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,358.5252637,359.5401537,361.0066279,None,360.0070134,360.5066724,z,0.7031009,361.0066279,None,santtu,1,2021_Nov_26_1449,project_circles,2021.2.3,59.95674719
3,3_circles_lined.png,"(0.75, 0.25)",There were 3 circles,Yes,z,Low,Yes,0,0,0,0,,,,,0,31,31,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,361.7804438,362.7902741,364.2737142,None,363.2745054,363.7745085,z,0.8118354,364.2737142,None,santtu,1,2021_Nov_26_1449,project_circles,2021.2.3,59.95674719
10,10_circles_notlined.png,"(0.5, 0.6)",There were 10 circles,Yes,z,High,No,0,0,0,0,,,,,,,,,0,0,0,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,365.4001256,366.406897,367.8902057,368.8902838,366.889691,367.3902593,m,3.9336694,367.8902057,None,santtu,1,2021_Nov_26_1449,project_circles,2021.2.3,59.95674719
10,10_circles_notlined.png,"(0.5, 0.6)",There were 9 circles,No,m,High,No,0,0,0,0,,,,,,,,,0,1,1,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,371.9572601,372.9734893,374.4562759,375.4567412,373.4567317,373.9576678,m,2.0285134,374.4562759,None,santtu,1,2021_Nov_26_1449,project_circles,2021.2.3,59.95674719
9,9_circles_notlined.png,"(0.5, 0.6)",There were 10 circles,No,m,High,No,0,0,0,0,,,,,,,,,0,2,2,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376.6507469,377.6562742,379.1400383,None,378.1397689,378.6407607,z,0.7780417,379.1400383,None,santtu,1,2021_Nov_26_1449,project_circles,2021.2.3,59.95674719
7,7_circles_lined.png,"(0.75, 0.35)",There were 7 circles,Yes,z,High,Yes,0,0,0,0,,,,,,,,,0,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,380.0539016,381.0566566,382.5402217,383.5399183,381.5398972,382.0409817,m,1.2255308,382.5402217,None,santtu,1,2021_Nov_26_1449,project_circles,2021.2.3,59.95674719
7,7_circles_notlined.png,"(0.5, 0.5)",There were 6 circles,No,m,High,No,0,0,0,0,,,,,,,,,0,4,4,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,383.9320394,384.9398333,386.4236425,None,385.4232971,385.9232076,z,0.7083332,386.4236425,None,santtu,1,2021_Nov_26_1449,project_circles,2021.2.3,59.95674719
