circle_amount,file_name,size,prompt,correct_answer,correct_key_resp,condition_size,condition_lined,practice_section.thisRepN,practice_section.thisTrialN,practice_section.thisN,practice_section.thisIndex,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,trials_low.thisRepN,trials_low.thisTrialN,trials_low.thisN,trials_low.thisIndex,trials_high.thisRepN,trials_high.thisTrialN,trials_high.thisN,trials_high.thisIndex,image_2.started,image_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,cross_2.started,cross_2.stopped,practice_low.started,practice_low.stopped,text_2.started,text_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,yes_no_prac.started,yes_no_prac.stopped,text_3.started,text_3.stopped,text_4.started,text_4.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_5.started,text_5.stopped,text_6.started,text_6.stopped,cross.started,cross.stopped,text.started,text.stopped,image.started,image.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
7,7_circles_notlined.png,"(0.5, 0.5)",There were 8 circles,No,m,High,No,0,0,0,0,,,,,,,,,0,2,2,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223.19984650006518,224.21498100005556,225.69930140010547,226.71539370005485,224.69844930002,225.19795340008568,z,1.1501802999991924,225.69930140010547,None,3,001,2021_Dec_07_1352,project_circles,2021.2.3,59.66206214424098,
9,9_circles_notlined.png,"(0.5, 0.6)",There were 9 circles,Yes,z,High,No,0,0,0,0,,,,,,,,,0,3,3,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226.99782170006074,227.9988187000854,229.4839251000667,None,228.48105420009233,228.98262200003956,z,0.881244600052014,229.4839251000667,None,3,001,2021_Dec_07_1352,project_circles,2021.2.3,59.66206214424098,
9,9_circles_notlined.png,"(0.5, 0.6)",There were 8 circles,No,m,High,No,0,0,0,0,,,,,,,,,0,4,4,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230.52751680009533,231.5314622001024,233.01780240004882,234.03132060007192,232.0143632000545,232.51553760003299,m,1.172620499972254,233.01780240004882,None,3,001,2021_Dec_07_1352,project_circles,2021.2.3,59.66206214424098,
8,8_circles_notlined.png,"(0.5, 0.5)",There were 8 circles,Yes,z,High,No,0,0,0,0,,,,,,,,,0,5,5,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.39129530009814,235.39799260010477,236.88291560008656,None,235.882165200077,236.3825784000801,m,0.8512065999675542,236.88291560008656,None,3,001,2021_Dec_07_1352,project_circles,2021.2.3,59.66206214424098,
8,8_circles_notlined.png,"(0.5, 0.5)",There were 7 circles,No,m,High,No,0,0,0,0,,,,,,,,,0,6,6,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237.92937430005986,238.93129580002278,240.414477000013,241.414510600036,239.41499400010798,239.91427430009935,m,1.1141688000643626,240.414477000013,None,3,001,2021_Dec_07_1352,project_circles,2021.2.3,59.66206214424098,
7,7_circles_notlined.png,"(0.5, 0.5)",There were 7 circles,Yes,z,High,No,0,0,0,0,,,,,,,,,0,7,7,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,241.70057960005943,242.71469070005696,244.18191650009248,None,243.18138389999513,243.68195740005467,z,0.5150081999599934,244.18191650009248,None,3,001,2021_Dec_07_1352,project_circles,2021.2.3,59.66206214424098,
8,8_circles_notlined.png,"(0.5, 0.5)",There were 9 circles,No,m,High,No,0,0,0,0,,,,,,,,,0,8,8,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,244.8219883000711,245.83125310007017,247.317758899997,None,246.314500000095,246.81534380000085,m,0.5388335000025108,247.317758899997,None,3,001,2021_Dec_07_1352,project_circles,2021.2.3,59.66206214424098,
8,8_circles_notlined.png,"(0.5, 0.5)",There were 8 circles,Yes,z,High,No,0,0,0,0,,,,,,,,,0,9,9,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,248.00674330000766,249.01510850002524,250.49923509999644,None,249.49869880010374,249.9985333000077,z,0.569522500038147,250.49923509999644,None,3,001,2021_Dec_07_1352,project_circles,2021.2.3,59.66206214424098,
7,7_circles_notlined.png,"(0.5, 0.5)",There were 7 circles,Yes,z,High,No,0,0,0,0,,,,,,,,,0,10,10,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251.25312040001154,252.26332480006386,253.74989170010667,None,252.74790240009315,253.24819010007195,z,0.44335240009240806,253.74989170010667,None,3,001,2021_Dec_07_1352,project_circles,2021.2.3,59.66206214424098,
10,10_circles_lined.png,"(1, 0.4)",There were 8 circles,No,m,High,Yes,0,0,0,0,,,,,,,,,0,11,11,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254.33040730003268,255.33117140003014,256.8162508000387,257.81381350010633,255.8161315000616,256.31646950007416,z,1.231469599995762,256.8162508000387,None,3,001,2021_Dec_07_1352,project_circles,2021.2.3,59.66206214424098,
8,8_circles_lined.png,"(0.75, 0.35)",There were 8 circles,Yes,z,High,Yes,0,0,0,0,,,,,,,,,0,12,12,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,258.1430413000053,259.14767000009306,260.6317962000612,None,259.63083600008395,260.1323196000885,z,0.42953660001512617,260.6317962000612,None,3,001,2021_Dec_07_1352,project_circles,2021.2.3,59.66206214424098,
7,7_circles_lined.png,"(0.75, 0.35)",There were 7 circles,Yes,z,High,Yes,0,0,0,0,,,,,,,,,0,13,13,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,261.1815366001101,262.1963209999958,263.6651116000721,None,262.66407400008757,263.16500100004487,z,0.37856719992123544,263.6651116000721,None,3,001,2021_Dec_07_1352,project_circles,2021.2.3,59.66206214424098,
8,8_circles_lined.png,"(0.75, 0.35)",There were 7 circles,No,m,High,Yes,0,0,0,0,,,,,,,,,0,14,14,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264.1373757000547,265.1473218000028,266.63166240009014,None,265.6310770000564,266.1315249000909,m,0.4211844999808818,266.63166240009014,None,3,001,2021_Dec_07_1352,project_circles,2021.2.3,59.66206214424098,
10,10_circles_lined.png,"(1, 0.4)",There were 10 circles,Yes,z,High,Yes,0,0,0,0,,,,,,,,,0,15,15,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,267.17256050009746,268.1807157000294,269.666172600002,None,268.66361990000587,269.1651909000939,z,0.3669049000600353,269.666172600002,None,3,001,2021_Dec_07_1352,project_circles,2021.2.3,59.66206214424098,
10,10_circles_lined.png,"(1, 0.4)",There were 10 circles,Yes,z,High,Yes,0,0,0,0,,,,,,,,,0,16,16,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270.14049030002207,271.14742110006046,272.6481713000685,None,271.63418310007546,272.14737760007847,z,0.38094730000011623,272.6481713000685,None,3,001,2021_Dec_07_1352,project_circles,2021.2.3,59.66206214424098,
9,9_circles_lined.png,"(0.5, 0.5)",There were 9 circles,Yes,z,High,Yes,0,0,0,0,,,,,,,,,0,17,17,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273.1683266001055,274.1805856000865,275.667211699998,None,274.6647393000312,275.1653861000668,z,0.3838380000088364,275.667211699998,None,3,001,2021_Dec_07_1352,project_circles,2021.2.3,59.66206214424098,
9,9_circles_lined.png,"(0.5, 0.5)",There were 8 circles,No,m,High,Yes,0,0,0,0,,,,,,,,,0,18,18,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,276.1736177999992,277.18058230006136,278.6651116000721,None,277.66455109999515,278.1640155001078,m,0.3544155000708997,278.6651116000721,None,3,001,2021_Dec_07_1352,project_circles,2021.2.3,59.66206214424098,
10,10_circles_lined.png,"(1, 0.4)",There were 9 circles,No,m,High,Yes,0,0,0,0,,,,,,,,,0,19,19,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279.1676187000703,280.17989180004224,281.66453790001106,None,280.66425020003226,281.1642827000469,m,0.4877645999658853,281.66453790001106,None,3,001,2021_Dec_07_1352,project_circles,2021.2.3,59.66206214424098,
